name,dt_average,DT_max
308,170550.34462293156,481022.4
249,2154.639111783999,6089.816666666667
348,3951.3989046989764,11634.4
294,158571.25118874933,461286.6
8,236962.08841786606,496000.06666666665
167,124962.8503658844,355826.06666666665
128,341885.09370426467,1008512.3833333333
159,2343.2266338632326,5864.316666666667
20,4728.687749179934,11465.083333333332
99,149745.95769619013,465519.7166666667
96,54713.667385818844,141586.9
168,2397.516048448147,6742.433333333333
225,336763.87182689906,1008512.3833333333
12,3203.1686727226875,6859.366666666667
162,963.5910295230872,3421.9
393,153736.14334116003,472550.26666666666
347,216671.46989098325,625104.7333333333
304,364527.03305148834,802414.2
287,1289.0063840524883,3464.4
327,202076.33763669812,604274.1333333333
264,1410.844473883427,4605.9
102,174636.21323492346,399236.76666666666
85,3254.5488644965953,8469.366666666667
111,38725.51657834972,124080.48333333334
217,158257.93253848102,420765.68333333335
15,1195.7254352763073,3485.76666666667
368,51667.83228379439,169484.13333333333
325,150103.9627208456,450703.8
163,63187.058655059285,197531.18333333332
250,1432.8872823618453,4591.45
262,163109.6977668429,467388.68333333335
178,57863.90801160738,183952.5
302,265566.4124413539,538483.9333333333
129,20302.35700227109,64454.5
134,280963.92176381295,769315.2166666667
324,367488.0941616715,969337.0666666667
53,102478.88947766871,320682.85
211,3260.601539237955,6206.15
118,2522.752624274515,6298.25
42,180129.49868786306,442033.4666666667
110,1528.2870300277568,4145.8
196,110338.5495331821,392518.61666666664
369,138396.71988007787,439304.0
27,155810.27129699706,397195.1166666667
29,3152.4007191521605,7780.233333333333
201,108260.04602573802,313830.2833333333
10,188889.95777188995,426148.26666666666
22,439110.74578602065,945684.6166666667
395,21919.21243878761,88145.13333333333
173,1445.2848599545805,5128.316666666667
141,2454.8839515518557,8358.683333333332
161,261371.44198839305,728458.15
274,157746.96168306726,475910.3
160,118262.54430986608,334643.4166666667
212,174037.48127681224,415689.2166666667
244,260566.46810497035,680612.0333333333
80,2797.299015897037,7517.016666666666
26,3790.256598536462,9421.95
200,183095.74380519657,538955.0166666667
366,4194.047868204622,11015.0
59,6077.10378501135,15023.1
41,4170.14124400714,10536.55
389,74236.36662560882,224797.2
311,220185.30844634847,531737.5333333333
194,709.4215997981354,3464.4
354,149877.67328466283,436599.8
387,37161.77505399526,120127.73333333334
285,30132.080128690257,107934.88333333333
204,1475.3968079737488,4773.2
90,1608.3009588695418,4425.433333333333
95,100578.7187736564,259295.2
91,2013.8597779460026,4799.35
296,189346.75824726286,405123.5333333333
305,1679.2951688713797,3580.53333333333
188,719.4041508957906,2589.416666666667
320,4026.8269775080544,11123.0
313,4472.151660914303,9560.2
290,99486.03772394633,324569.65
100,1414.6812894271968,4669.083333333333
272,93876.60076961858,320202.86666666664
133,3702.1324501640065,10128.05
56,252369.97706283137,631837.2666666667
179,88073.34481453468,279389.1
247,2663.3588316931587,7860.116666666667
185,2462.9715493313133,7531.75
182,148486.8623139044,415977.5
114,1361.1796744890162,2877.5666666666666
359,3886.291835067581,10504.0
373,3119.013841594067,8781.733333333334
392,2620.8426816698475,7048.2
248,1379.6516654049906,4636.933333333333
271,165372.44677012356,564245.4166666666
293,55981.19374938537,160902.93333333332
203,171493.64423416587,399236.76666666666
148,3151.7551728488625,8324.183333333332
207,62199.884733787105,167662.16666666666
208,73775.76279333868,193011.36666666667
137,219959.2319328793,600952.35
121,160820.1129573555,408109.4166666667
124,157675.32254605117,480935.45
261,60853.80801160738,197531.18333333332
17,204682.3413449402,609942.3666666667
281,2597.5883547817116,7531.75
326,4484.379560083302,12340.333333333334
138,1615.314976028236,4156.633333333333
202,1958.1391748675169,5674.533333333333
391,120079.9258351615,427730.8
23,205686.8325889477,474106.2
216,2422.4715114811947,6298.25
224,216340.11510219518,611342.2
105,32236.23923795128,90671.75
65,186784.26608629758,468346.73333333334
131,2427.369682059047,6929.4
31,5205.991786525359,11881.716666666667
278,39676.22923290438,138750.3
382,200183.07959643635,652936.3333333334
232,1339.83662629321,7980.966666666667
243,88563.57805955081,245825.08333333334
48,386916.27534695895,808471.0166666667
371,119794.9086922677,325226.86666666664
323,207420.34254523806,567763.0666666667
197,102249.48696694405,324569.65
112,2157.9274665657376,6206.15
151,1520.7840272521134,4636.933333333333
38,294348.55936159455,587011.7166666667
341,1915.236591864579,5866.533333333333
332,318524.6712108183,947300.4
237,122234.69105475735,408973.7166666667
246,3236.992228110025,8324.183333333332
64,156054.50017663394,403713.0333333333
101,2532.7157834973423,5674.533333333333
380,35612.5761574221,87772.46666666667
166,1723.7945874337584,4605.9
55,203177.89096643965,480782.93333333335
172,166178.44052485484,564245.4166666666
205,31313.029245521302,90671.75
6,223439.0452182693,507510.3
299,3774.1279958258,8717.533333333333
322,5552.31003733692,14928.333333333334
260,257176.77775675032,728458.15
83,157793.9818445623,389435.0
378,180187.9247167665,470355.0
381,235734.13068596387,631121.2
9,5316.413853141562,11012.5166666667
199,181408.8681302044,547204.1833333333
93,2414.011506434525,5189.683333333333
375,1898.59345941484,5873.6
47,5553.574854907905,13134.616666666667
119,158736.36164521895,420765.68333333335
289,109071.65994196454,392518.61666666664
60,255102.9865758265,610799.1833333333
139,85855.87075447883,266938.86666666664
352,190934.68658951172,608893.2
321,192495.57652009884,585343.2
186,28631.858755992944,86866.85
175,95352.58896038373,320202.86666666664
345,26499.661942459294,82300.26666666666
314,215434.103059658,502101.06666666665
33,207714.1031541777,469715.31666666665
284,29342.640348220895,86820.85
153,1309.9344057532107,4591.45
279,147397.31072419902,415977.5
307,3154.9602330027324,7262.0
79,144963.31704516956,350372.4
104,1975.7763689124477,4773.2
269,3382.79834721168,11466.983333333334
288,107970.98695432725,318097.06666666665
213,203669.66883673996,560818.45
255,21164.47452687355,74182.31666666667
81,166410.70637143607,408023.3833333333
125,325900.4705399961,706556.6666666667
149,2823.969543275294,7860.116666666667
312,210241.24681267852,449662.2
367,2477.3916011239435,8130.933333333333
230,3322.5609512994924,10128.05
46,241323.88176886187,570692.7666666667
267,1836.6109386828164,5467.91666666667
136,150565.59805702668,411312.76666666666
362,149327.45332418146,477978.8
238,2285.617865253661,8358.683333333332
370,176109.29573213236,479059.5333333333
223,327030.24408277497,706556.6666666667
74,211146.6366893767,531982.5166666667
339,210056.08284384874,553930.2666666667
181,40344.65459248045,138750.3
92,55071.02819833461,141976.98333333334
195,109348.21469846048,318097.06666666665
54,363839.0627302555,821639.4
122,122174.99835982955,295140.63333333336
143,73844.94587433778,231890.41666666666
234,147941.3217890485,411312.76666666666
165,97910.80789805634,312984.51666666666
171,3583.013260156472,11466.983333333334
51,201862.59481453508,538648.25
268,115720.88238708115,384103.43333333335
384,1521.8037931373706,5236.733333333333
76,2415.7777946000483,6068.133333333333
150,594.4230507191658,2494.0
310,66075.85880154168,169623.06666666668
295,7039.761995919925,19702.0
396,1625.4200062442014,4923.666666666667
50,242657.6355538731,520428.9666666667
298,185144.92978012757,442895.6
68,108385.47204138276,282224.56666666665
86,2715.4741862225537,7569.033333333333
84,292399.1131970737,672125.1333333333
220,121189.25222053996,295140.63333333336
61,241165.21917739004,558036.5833333334
206,21860.047539742536,66540.61666666667
221,3390.387509462526,8465.133333333333
318,133711.4075315306,406909.6666666667
43,280605.5139162238,610551.3166666667
241,78452.42553620994,228366.86666666667
82,3715.8904996214987,9303.433333333332
